구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,561052,556164,4888,65060,0.8712204929311365,11.596073091264268,0.5771301055873609,1549.2003260063495
강동구,1010,166.49076517150397,440359,436223,4136,56161,0.9392336707095802,12.753457974062071,0.22935831900790038,-544.6423220628246
강북구,831,125.20325203252031,328002,324479,3523,56530,1.0740788165925819,17.23465100822556,0.2533521137066237,-598.7509232999155
강서구,911,134.7938144329897,608255,601691,6564,76032,1.0791526580134976,12.500020550591445,0.149772710458607,-830.268578430451
관악구,2109,149.29078014184398,520929,503297,17632,70046,3.384722294209,13.44636217219621,0.4048536364840506,464.7993949790366
광진구,878,53.22862129144852,372298,357703,14595,43953,3.920246684107892,11.805865194011249,0.2358325857243391,-600.9885266499678
구로구,1884,64.97373029772329,441559,410742,30817,58794,6.979135291093602,13.315094925027008,0.4266700486231738,328.0238075195291
금천구,1348,100.0,253491,235154,18337,34170,7.233787392846295,13.47976851249157,0.5317743036241918,1.072425607790592
노원구,1566,188.929889298893,558075,554403,3672,74243,0.6579760784840748,13.303409040003583,0.2806074452358554,-119.49056379920603
도봉구,825,246.6386554621849,346234,344166,2068,53488,0.5972839178128087,15.44851170017965,0.23827815870191837,-625.0168611786889
동대문구,1870,74.76635514018692,366011,350647,15364,55718,4.1976880476269836,15.223039744707126,0.510913606421665,397.99984277981775
동작구,1302,139.33823529411765,408493,396217,12276,57255,3.0051922554364454,14.016152051565141,0.3187325119402291,-217.2213931222259
마포구,980,212.1019108280255,385783,374915,10868,49615,2.817127763535459,12.860857010288168,0.2540288193103377,-513.9778954682686
서대문구,1254,48.5781990521327,325028,312800,12228,49266,3.7621374158534033,15.15746335700309,0.385812914579667,-172.4451477815153
서초구,2297,63.37126600284495,445401,441102,4299,53205,0.9651976533505762,11.945415479534173,0.515715052278733,736.753199065698
성동구,1327,81.78082191780823,312711,304808,7903,41273,2.5272535983703803,13.198448407635166,0.42435347653264516,-85.7540795030568
성북구,1651,63.62735381565907,455407,444055,11352,66251,2.4927153074063417,14.547646391030442,0.36253285522620426,79.63094289989021
송파구,1081,104.34782608695652,671173,664496,6677,76582,0.9948254771869548,11.410172936038846,0.16106130610140754,-730.2056275450118
양천구,2482,34.67173087357569,475018,471154,3864,55234,0.8134428590074482,11.627769895035557,0.5225065155425689,888.8321655995046
영등포구,1277,157.97979797979798,402024,368550,33474,53981,8.326368575010447,13.427307822418562,0.3176427277973454,-235.0307200124305
용산구,2096,53.216374269005854,244444,229161,15283,36882,6.252147731177693,15.088118342033349,0.8574561044656445,759.1286969981627
은평구,2108,85.23725834797891,491202,486794,4408,74559,0.8973904829377731,15.178887708111938,0.4291513471036356,496.84269990018083
종로구,1619,248.92241379310346,164257,154770,9487,26182,5.775705144986211,15.939655539794348,0.9856505354414119,371.26125298133593
중구,1023,147.6997578692494,134593,125709,8884,21384,6.600640449354721,15.887899073503078,0.7600692458003017,-191.76547029444623
중랑구,916,79.96070726915521,412780,408226,4554,59262,1.1032511265080673,14.356800232569409,0.22190997625853967,-607.9866451892674
